BiteMean,,p1STDBite,,SwallowMean,,p1STDSwallow,
X,Y,X,Y,X,Y,X,Y
0.003960396039603964,21.943925233644876,0.003960396039603964,38.39252336448598,0.003960396039603964,30.16822429906543,0.003960396039603964,39.14018691588785
0.011089108910891099,21.943925233644876,0.013465346534653477,38.39252336448598,0.011089108910891099,35.401869158878526,0.014653465346534666,47.364485981308434
0.019405940594059423,23.439252336448618,0.0217821782178218,41.383177570093466,0.019405940594059423,40.635514018691595,0.030099009900990098,54.841121495327116
0.02653465346534653,25.68224299065423,0.03128712871287129,45.12149532710282,0.02891089108910891,46.61682242990656,0.04435643564356437,63.06542056074767
0.034851485148514855,28.672897196261687,0.04435643564356437,48.85981308411215,0.03841584158415842,51.85046728971963,0.05504950495049504,67.5514018691589
0.04316831683168318,33.15887850467291,0.05504950495049504,54.093457943925245,0.04792079207920791,56.33644859813086,0.06693069306930693,72.78504672897196
0.051485148514851475,37.64485981308411,0.06336633663366337,58.57943925233647,0.05742574257425742,60.822429906542055,0.0823762376237624,78.01869158878506
0.05861386138613861,41.383177570093466,0.07287128712871288,63.06542056074767,0.06811881188118812,65.30841121495328,0.09425742574257429,81.75700934579442
0.06693069306930693,45.86915887850469,0.08000000000000002,66.80373831775702,0.07881188118811883,69.04672897196264,0.10851485148514856,83.25233644859813
0.07405940594059407,50.35514018691589,0.09069306930693072,71.28971962616825,0.0930693069306931,72.78504672897196,0.12039603960396039,84
0.0823762376237624,54.841121495327116,0.10257425742574261,75.02803738317758,0.10613861386138618,76.52336448598132,0.13346534653465347,84
0.08950495049504953,59.32710280373834,0.11445544554455445,78.76635514018693,0.1192079207920792,78.76635514018693,0.14534653465346536,86.24299065420561
0.09900990099009904,64.56074766355141,0.12514851485148515,81.75700934579442,0.13584158415841585,80.26168224299067,0.15722772277227726,89.2336448598131
0.11089108910891093,69.04672897196264,0.13821782178217823,81.75700934579442,0.1512871287128713,82.50467289719629,0.17148514851485153,92.97196261682244
0.12039603960396039,72.03738317757009,0.14772277227722774,84.74766355140189,0.16554455445544558,85.49532710280374,0.18574257425742574,96.7102803738318
0.13465346534653466,74.2803738317757,0.15603960396039607,85.49532710280374,0.18099009900990104,88.48598130841123,0.2023762376237624,99.70093457943926
0.14653465346534655,75.77570093457945,0.17029702970297034,87.73831775700936,0.19643564356435644,90.72897196261684,0.21663366336633666,103.4392523364486
0.15841584158415845,78.01869158878506,0.18099009900990104,89.98130841121497,0.2130693069306931,94.46728971962618,0.23207920792079212,105.68224299065422
0.17148514851485153,80.26168224299067,0.19524752475247525,92.97196261682244,0.22851485148514855,96.7102803738318,0.243960396039604,107.92523364485983
0.18099009900990104,81.75700934579442,0.20475247524752477,95.21495327102805,0.24752475247524758,98.95327102803739,0.25584158415841585,108.67289719626169
0.19287128712871288,84,0.21544554455445547,98.20560747663552,0.26653465346534655,99.70093457943926,0.2712871287128713,108.67289719626169
0.20356435643564358,85.49532710280374,0.22732673267326736,98.95327102803739,0.2831683168316832,99.70093457943926,0.28792079207920795,109.42056074766356
0.21425742574257428,88.48598130841123,0.23683168316831688,100.44859813084113,0.30217821782178217,98.95327102803739,0.3069306930693069,109.42056074766356
0.22732673267326736,90.72897196261684,0.2463366336633664,101.196261682243,0.31643564356435644,96.7102803738318,0.32594059405940595,109.42056074766356
0.23801980198019806,92.22429906542057,0.25584158415841585,102.69158878504673,0.3306930693069307,95.21495327102805,0.33544554455445547,107.92523364485983
0.24752475247524758,94.46728971962618,0.26772277227722774,104.18691588785047,0.3425742574257426,93.71962616822431,0.3520792079207921,104.93457943925235
0.2605940594059406,95.96261682242992,0.27722772277227725,106.42990654205609,0.35920792079207925,90.72897196261684,0.3675247524752476,103.4392523364486
0.2724752475247525,98.20560747663552,0.29029702970297033,107.92523364485983,0.3746534653465347,88.48598130841123,0.3782178217821783,101.94392523364488
0.2843564356435644,100.44859813084113,0.30455445544554455,108.67289719626169,0.3877227722772278,85.49532710280374,0.39009900990099017,99.70093457943926
0.2974257425742574,101.94392523364488,0.32,109.42056074766356,0.40316831683168325,83.25233644859813,0.40435643564356444,97.45794392523365
0.3116831683168317,102.69158878504673,0.3295049504950495,109.42056074766356,0.4174257425742575,80.26168224299067,0.41504950495049514,94.46728971962618
0.3223762376237624,103.4392523364486,0.33900990099009903,109.42056074766356,0.4293069306930694,78.01869158878506,0.42455445544554465,90.72897196261684
0.3330693069306931,104.18691588785047,0.34970297029702974,109.42056074766356,0.44356435643564357,75.02803738317758,0.43405940594059406,87.73831775700936
0.344950495049505,104.18691588785047,0.363960396039604,107.92523364485983,0.45782178217821784,73.53271028037383,0.44356435643564357,84.74766355140189
0.3544554455445545,104.18691588785047,0.3746534653465347,108.67289719626169,0.4732673267326733,72.78504672897196,0.4542574257425743,82.50467289719629
0.3651485148514852,104.18691588785047,0.3865346534653466,107.17757009345796,0.4863366336633664,71.28971962616825,0.4637623762376238,81.75700934579442
0.3758415841584159,103.4392523364486,0.3960396039603961,107.17757009345796,0.4970297029702971,69.79439252336451,0.47683168316831687,81.00934579439254
0.3877227722772278,104.18691588785047,0.4067326732673268,107.17757009345796,0.5112871287128713,67.5514018691589,0.48871287128712876,78.76635514018693
0.3984158415841585,102.69158878504673,0.4209900990099011,106.42990654205609,0.5231683168316832,65.30841121495328,0.5017821782178218,75.77570093457945
0.4114851485148516,103.4392523364486,0.4304950495049505,107.17757009345796,0.5374257425742575,63.06542056074767,0.516039603960396,74.2803738317757
