TransRejectMean,,TransSwallowMean,,TimePeakProtraction,
X,Y,X,Y,X,Y
0.05938242280285011,-1.5896551724137935,0.1923990498812349,-1.2896551724137932,2.7957244655581954,-0.0034482758620689724
0.09738717339667446,-1.6068965517241383,0.2589073634204275,-1.2551724137931033,,
0.15439429928741077,-1.6344827586206896,0.3349168646080758,-1.217241379310345,,
0.23040380047505948,-1.6655172413793107,0.4014251781472684,-1.182758620689655,,
0.3349168646080758,-1.713793103448276,0.4679334916864606,-1.1448275862068966,,
0.43942992874109255,-1.7655172413793108,0.5534441805225652,-1.1,,
0.5534441805225652,-1.8206896551724139,0.6199524940617578,-1.0586206896551724,,
0.6294536817102139,-1.8655172413793104,0.695961995249406,-1.013793103448276,,
0.6674584323040382,-1.8862068965517245,0.7434679334916865,-0.9896551724137931,,
0.695961995249406,-1.8931034482758622,0.8099762470308787,-0.9482758620689656,,
0.7434679334916865,-1.896551724137931,0.8764845605700713,-0.9172413793103448,,
0.8669833729216152,-1.896551724137931,0.8954869358669835,-0.8862068965517241,,
0.9524940617577196,-1.896551724137931,0.9429928741092635,-0.8586206896551724,,
0.9904988123515439,-1.896551724137931,1,-0.8310344827586206,,
1.0190023752969122,-1.8931034482758622,1.0380047505938244,-0.803448275862069,,
1.0475059382422804,-1.8689655172413797,1.0760095011876483,-0.7896551724137931,,
1.1045130641330165,-1.8275862068965516,1.1235154394299287,-0.7758620689655172,,
1.1710213776722092,-1.7793103448275867,1.209026128266033,-0.7517241379310345,,
1.209026128266033,-1.727586206896552,1.2850356294536813,-0.7275862068965516,,
1.2755344418052257,-1.6862068965517243,1.351543942992874,-0.7000000000000001,,
1.3230403800475061,-1.6448275862068966,1.4180522565320666,-0.6689655172413794,,
1.3800475059382422,-1.6103448275862071,1.4750593824228027,-0.6379310344827586,,
1.4275534441805227,-1.5689655172413794,1.5320665083135396,-0.6068965517241379,,
1.503562945368171,-1.510344827586207,1.5605700712589075,-0.5827586206896552,,
1.5700712589073635,-1.4620689655172416,1.608076009501188,-0.5758620689655173,,
1.5985748218527314,-1.4379310344827587,1.67458432304038,-0.5551724137931034,,
1.6175771971496435,-1.4344827586206899,1.7410926365795723,-0.5448275862068965,,
1.6175771971496435,-1.420689655172414,1.7980997624703092,-0.5241379310344828,,
1.6460807600950118,-1.3931034482758622,1.864608076009501,-0.506896551724138,,
1.6935866983372923,-1.3172413793103446,1.921615201900238,-0.48275862068965514,,
1.7505938242280288,-1.2413793103448278,1.9976247030878862,-0.4620689655172413,,
1.817102137767221,-1.1517241379310348,2.0736342042755345,-0.4379310344827586,,
1.9026128266033258,-1.0344827586206895,2.149643705463183,-0.4137931034482758,,
1.9501187648456058,-0.9517241379310345,2.2256532066508314,-0.38620689655172413,,
