BiteMean,,Bite_p1STD,,SwallowMean,,Swallow_p1STD,,PeakProtractionBite,,PeakProtractionSwallow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0026072124756335857,-5.4255477308294235,0.0026072124756335857,-4.910093896713617,0.0026072124756335857,-6.911267605633805,0.0026072124756335857,-6.244209702660408,0.430701754385965,3,0.37456140350877193,3.0436619718309856
0.014790448343079965,-5.486189358372458,0.01296296296296301,-4.910093896713617,0.016617933723196948,-6.6990219092331795,0.015399610136452302,-6.213888888888894,,,,
0.026973684210526372,-5.395226917057906,0.025755360623781753,-4.819131455399065,0.03123781676413262,-6.486776212832554,0.029410331384015664,-6.183568075117373,,,,
0.039766081871345116,-5.122339593114242,0.03915692007797278,-4.667527386541474,0.044639376218323645,-6.274530516431929,0.040984405458089734,-6.0622848200313,,,,
0.05438596491228076,-4.788810641627547,0.05073099415204685,-4.39464006259781,0.06291423001949326,-6.1532472613458555,0.05682261208577005,-5.910680751173713,,,,
0.06596003898635483,-4.3643192488262965,0.06291423001949326,-4.091431924882633,0.07814327485380124,-5.910680751173713,0.07266081871345037,-5.728755868544605,,,,
0.0775341130604289,-3.909507042253523,0.07326998050682265,-3.6062989045383436,0.09398148148148155,-5.577151799687014,0.08179824561403515,-5.577151799687014,,,,
0.08910818713450297,-3.485015649452272,0.08423489278752444,-3.2424491392801276,0.10860136452241725,-5.364906103286389,0.09398148148148155,-5.364906103286389,,,,
0.10007309941520476,-3.1514866979655753,0.09276315789473694,-2.8482785602503924,0.12383040935672524,-4.910093896713617,0.10799220272904492,-5.001056338028173,,,,
0.11164717348927883,-2.7269953051643228,0.10311890838206633,-2.3328247261345876,0.1396686159844055,-4.5159233176838836,0.11652046783625736,-4.6978482003129916,,,,
0.12200292397660828,-2.4237871674491416,0.11408382066276812,-1.908333333333335,0.15489766081871353,-4.152073552425669,0.1293128654970761,-4.303677621283258,,,,
0.13296783625731,-2.1812206572769988,0.12200292397660828,-1.7264084507042288,0.17134502923976613,-3.7275821596244167,0.14088693957115023,-3.909507042253523,,,,
0.14454191033138408,-2.0902582159624448,0.12992202729044844,-1.635446009389673,0.18901072124756346,-3.4243740219092356,0.15185185185185196,-3.6062989045383436,,,,
0.15489766081871353,-2.0599374021909256,0.14393274853801175,-1.6960876369327096,0.20667641325536074,-3.1514866979655753,0.16403508771929837,-3.303090766823164,,,,
0.1646442495126707,-1.999295774647889,0.15794346978557516,-1.7870500782472636,0.22129629629629644,-3.0605242566510196,0.178654970760234,-2.9695618153364656,,,,
0.17804580896686167,-1.7870500782472636,0.17012670565302151,-1.7870500782472636,0.239571150097466,-2.8482785602503924,0.18779239766081884,-2.908920187793429,,,,
