MeanBite,,p1STDBite,,SwallowMean,,p1STDSwallow,
X,Y,X,Y,X,Y,X,Y
0.004399999999999987,-11.846153846153854,0.0031999999999999806,-4.538461538461547,0.001999999999999974,-18.3846153846154,0.001999999999999974,-14.923076923076948
0.012799999999999978,-15.692307692307722,0.00799999999999998,-6.846153846153854,0.009199999999999986,-21.46153846153848,0.012799999999999978,-19.153846153846175
0.027200000000000002,-18.3846153846154,0.013999999999999985,-9.153846153846175,0.015199999999999991,-24.538461538461547,0.022399999999999975,-23.000000000000014
0.04159999999999997,-19.53846153846156,0.02119999999999997,-11.461538461538467,0.023599999999999982,-26.846153846153868,0.03199999999999997,-25.30769230769232
0.0524,-20.30769230769232,0.027200000000000002,-13.000000000000014,0.03199999999999997,-29.538461538461547,0.04520000000000002,-26.46153846153848
0.06680000000000003,-19.153846153846175,0.035599999999999965,-14.538461538461561,0.04039999999999999,-29.923076923076934,0.059599999999999986,-25.692307692307708
0.07879999999999998,-17.615384615384627,0.043999999999999984,-15.692307692307722,0.05120000000000002,-29.538461538461547,0.07519999999999999,-22.61538461538464
0.0968,-14.923076923076948,0.055999999999999994,-15.692307692307722,0.060799999999999965,-28.00000000000003,0.08600000000000002,-19.53846153846156
0.11000000000000004,-12.615384615384627,0.06440000000000001,-14.923076923076948,0.07280000000000003,-25.692307692307708,0.09439999999999998,-17.23076923076924
0.12320000000000003,-10.692307692307693,0.07519999999999999,-14.153846153846175,0.08479999999999999,-21.46153846153848,0.10400000000000004,-14.153846153846175
0.13880000000000003,-8.000000000000014,0.08600000000000002,-12.23076923076924,0.09920000000000001,-17.23076923076924,0.11480000000000001,-9.923076923076948
0.15200000000000008,-5.692307692307708,0.0968,-11.07692307692308,0.11480000000000001,-13.769230769230788,0.12680000000000002,-7.615384615384627
0.1652,-3.384615384615401,0.1064,-9.153846153846175,0.134,-9.923076923076948,0.14240000000000003,-5.692307692307708
0.1784,-2.6153846153846274,0.11719999999999997,-7.615384615384627,0.14840000000000003,-10.692307692307693,0.1568,-6.461538461538467
0.19160000000000005,-3.000000000000014,0.12680000000000002,-6.076923076923094,0.16280000000000006,-11.846153846153854,0.16880000000000006,-7.615384615384627
