B38_Median,,B38_upper,,B38_lower,,I2_median,,I2_upper,,I2_lower,,B8_median,,B8_upper,,B8_lower,,B6B9_median,,B6B9_Upper,,B6B9_lower,,B3_median,,B3_upper,,B3_lower,,B4B5_median,,B4B5_upper,,B4B5_lower,,Force_median,,Force_upper,,Force_lower,,StartPoint,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.30033557,5.858585859,0.406040268,0.606060606,0.345637584,0.808080808,0.30448791,12.5584809,0.177721159,13.61391695,0.336853889,8.417924097,0.520935394,18.93569959,0.481826503,23.27597737,0.528352598,13.30941358,0.701420141,25.18472745,0.662354947,33.35850858,0.728361654,15.98922369,0.76396648,5.423728814,0.801675978,8.13559322,,,0.479050279,9.74789916,0.467877095,17.14285714,0.518156425,2.352941176,0.321756022,47.05882353,0.239199689,62.81512605,0.337296037,34.80392157,,
0.315436242,4.848484848,,,,,0.311230822,11.99016918,0.189858401,13.69510434,0.341573927,7.849612379,0.52970118,18.13194444,0.489917998,22.79372428,0.53509551,13.47016461,0.709502595,24.57169387,0.67380509,34.17588669,0.735097033,16.60225727,0.772346369,5.338983051,0.811452514,8.13559322,,,0.48603352,9.411764706,0.474860335,16.13445378,0.518156425,2.352941176,0.336324786,48.80952381,0.253768454,59.31372549,0.354778555,34.80392157,,
0.325503356,3.838383838,,,,,0.313927987,11.50304485,0.202669934,13.69510434,0.346968257,7.037738496,0.539141257,17.3281893,0.494638036,22.15072016,0.542512713,14.11316872,0.715564435,23.54997123,0.68323462,34.38023122,0.742505949,16.19356822,0.777932961,5.084745763,0.819832402,8.050847458,,,0.494413408,9.075630252,0.484636872,15.6302521,0.525139665,2.68907563,0.348951049,50.56022409,0.265423465,61.06442577,0.368376068,33.05322129,,
0.325503356,3.838383838,,,,,0.317973734,11.8277944,0.208064264,14.10104128,0.353036878,6.144677225,0.547907043,16.68518519,0.504752405,21.34696502,0.549929917,13.9524177,0.725667503,22.93693764,0.692664149,35.60629839,0.749914865,15.17184557,0.787709497,5.169491525,0.829608939,7.881355932,,,0.504189944,8.907563025,0.49301676,15.29411765,0.525139665,2.68907563,0.360606061,50.56022409,0.275135975,61.06442577,0.385858586,29.55182073,,
0.333892617,2.626262626,,,,,0.322693773,11.99016918,0.214132885,13.85747911,0.359779791,5.495178119,0.55734712,16.68518519,0.512843899,20.86471193,0.559369994,13.30941358,0.734423495,22.52824859,0.702767217,35.19760933,0.758670857,14.35446746,0.796089385,4.915254237,0.835195531,7.542372881,,,0.515363128,8.403361345,0.501396648,15.12605042,0.529329609,2.857142857,0.375174825,45.30812325,0.290675991,61.06442577,0.397513598,26.05042017,,
0.345637584,1.818181818,,,,,0.32673952,11.42185746,0.223572962,13.77629172,0.363151247,4.520929459,0.56813578,16.04218107,0.522283977,20.06095679,0.566787198,12.50565844,0.741832411,23.14128217,0.711523208,34.9932648,0.768100386,14.35446746,0.805865922,4.661016949,0.840782123,7.372881356,,,0.520949721,8.571428571,0.509776536,14.45378151,0.529329609,2.857142857,0.38974359,40.05602241,0.308158508,61.06442577,0.412082362,20.79831933,,
0.359060403,1.01010101,,,,,0.331459559,10.85354575,0.236384496,13.77629172,0.369219868,3.5466808,0.576227275,15.39917695,0.529026889,19.5787037,0.57353011,12.18415638,0.749914865,24.16300481,0.7202792,34.78892028,0.778203454,15.17184557,0.812849162,4.661016949,0.849162011,7.711864407,,,0.527932961,8.067226891,0.51396648,13.61344538,0.539106145,2.68907563,0.404312354,36.55462185,0.318842269,61.06442577,0.423737374,19.04761905,,
0.370805369,0.404040404,,,,,0.335505306,10.20404664,0.24447599,14.01985389,0.369219868,3.5466808,0.58431877,15.39917695,0.539815548,19.5787037,0.580947313,12.34490741,0.757997319,25.59341651,0.728361654,34.38023122,0.788306521,15.3761901,0.82122905,4.406779661,0.854748603,7.542372881,,,0.534916201,7.731092437,0.519553073,12.60504202,0.546089385,2.352941176,0.416938617,31.30252101,0.32952603,61.06442577,0.44024864,17.29691877,,
0.382550336,0.404040404,,,,,0.339551054,9.473360145,0.251893194,14.34460344,0.375288489,2.815994305,0.593758847,15.72067901,0.547907043,19.5787037,0.591061682,12.34490741,0.764732697,26.81948368,0.737791184,34.78892028,0.798409589,15.78487916,0.828212291,4.576271186,0.858938547,7.288135593,,,0.540502793,7.226890756,0.523743017,11.42857143,0.555865922,2.18487395,0.431507382,27.80112045,0.341181041,64.56582633,0.451903652,17.29691877,,
0.397651007,0.404040404,,,,,0.343596801,8.986235815,0.258636106,14.34460344,0.382031401,2.085307811,0.600501759,14.59542181,0.55734712,19.73945473,0.597804594,11.70190329,0.771468075,27.43251726,0.743853024,35.19760933,0.808512656,15.98922369,0.835195531,4.661016949,0.86452514,6.949152542,,,0.548882682,6.722689076,0.529329609,10.75630252,0.568435754,1.680672269,0.448989899,27.80112045,0.353807304,64.56582633,0.465501166,13.79551821,,
,,,,,,0.350339713,9.067423203,0.268750475,14.66935299,0.390122896,1.435808704,0.607918962,13.47016461,0.564764324,19.41795267,0.605221798,11.21965021,0.776856378,28.24989538,0.75462963,35.40195386,0.819962799,16.8066018,0.842178771,4.491525424,0.868715084,6.694915254,,,0.554469274,6.554621849,0.539106145,10.25210084,0.575418994,1.848739496,0.466472416,24.29971989,0.365462315,64.56582633,0.482012432,15.54621849,,
,,,,,,0.357756917,8.417924097,0.273470513,14.91291516,0.398214391,0.867496986,0.610616127,14.43467078,0.576227275,19.25720165,0.613313292,11.21965021,0.786959445,28.24989538,0.764059159,36.01498745,0.830739404,16.60225727,0.850558659,4.491525424,0.874301676,6.694915254,,,0.561452514,6.386554622,0.547486034,10.08403361,0.589385475,1.680672269,0.482983683,26.05042017,0.373232323,59.31372549,0.497552448,22.54901961,,
,,,,,,0.363825538,7.930799767,0.282236299,15.3188521,0.406980176,0.542747433,0.616010457,16.2029321,0.589038808,19.90020576,0.62275337,10.89814815,0.795041899,28.24989538,0.775509302,36.62802103,0.84151601,15.58053463,0.856145251,4.576271186,0.881284916,6.694915254,,,0.569832402,6.554621849,0.554469274,9.74789916,0.597765363,1.512605042,0.5004662,29.55182073,0.384887335,52.31092437,0.512121212,22.54901961,,
,,,,,,0.369219868,7.200113273,0.292350668,15.3188521,0.415745962,0.461560045,0.618033331,16.68518519,0.598478885,20.38245885,0.630170573,10.25514403,0.804471429,27.63686179,0.78561237,37.44539914,0.848924926,14.76315652,0.863128492,4.576271186,0.889664804,6.86440678,,,0.576815642,6.554621849,0.561452514,9.243697479,0.606145251,1.008403361,0.512121212,34.80392157,0.395571096,45.30812325,0.524747475,22.54901961,,
,,,,,,0.37596278,6.469426778,0.300442162,15.3188521,0.423163166,0.461560045,0.626799117,17.3281893,0.609267545,21.18621399,0.63421632,9.933641975,0.813900959,27.43251726,0.796388975,38.87581084,0.860375069,14.55881199,0.87150838,4.322033898,0.895251397,7.118644068,,,0.585195531,6.722689076,0.567039106,8.907563025,0.615921788,0.672268908,0.527661228,41.80672269,0.409168609,41.80672269,0.539316239,27.80112045,,
,,,,,,0.382705692,5.982302448,0.307859366,14.75054038,,,0.634890612,17.00668724,0.618033331,21.82921811,0.638262068,10.57664609,0.821309875,27.02382821,0.805144967,40.30622254,0.869131061,14.55881199,0.877094972,4.152542373,0.902234637,6.949152542,,,0.592178771,7.058823529,0.572625698,9.411764706,0.627094972,1.008403361,0.543201243,48.80952381,0.423737374,41.80672269,0.552913753,31.30252101,,
,,,,,,0.388100022,5.90111506,0.313927987,14.10104128,,,0.644330689,17.00668724,0.625450534,23.11522634,0.64500498,11.05889918,0.829392329,27.22817273,0.812553883,41.5322897,0.879234128,14.55881199,0.886871508,3.983050847,0.907821229,6.694915254,,,0.604748603,7.56302521,0.579608939,10.08403361,0.636871508,1.344537815,0.560683761,55.81232493,0.437334887,40.05602241,0.568453768,40.05602241,,
,,,,,,0.390797187,5.170428565,0.319322317,13.37035478,,,0.653770766,17.00668724,0.630844864,24.40123457,0.655119348,12.18415638,0.834780631,27.02382821,0.821983413,41.94097876,0.886643044,13.74143388,0.892458101,3.644067797,0.910614525,6.271186441,,,0.611731844,8.067226891,0.587988827,10.58823529,0.645251397,1.848739496,0.576223776,68.06722689,0.448018648,40.05602241,0.584965035,45.30812325,,
,,,,,,0.398214391,4.602116847,0.323368064,12.5584809,,,0.66118797,18.29269547,0.636239194,25.84799383,0.663210843,12.34490741,0.838148321,26.00210557,0.83208648,41.73663423,0.894725498,12.92405576,0.898044693,3.305084746,0.913407821,5.677966102,,,0.62150838,8.403361345,0.594972067,10.92436975,0.653631285,3.025210084,0.587878788,73.31932773,0.460644911,40.05602241,0.596620047,48.80952381,,
,,,,,,0.402260138,3.871430353,0.327413812,12.31491873,,,0.667256591,19.5787037,0.644330689,26.00874486,0.67265092,12.34490741,0.842863085,26.61513915,0.84151601,41.73663423,0.904155028,12.51536671,0.902234637,2.627118644,0.918994413,5.254237288,,,0.631284916,8.571428571,0.604748603,11.2605042,0.663407821,3.865546218,0.605361305,80.32212885,0.474242424,43.55742297,0.609246309,52.31092437,,
,,,,,,0.40900305,3.140743858,0.334831015,12.15254396,,,0.676022377,20.06095679,0.65579364,26.00874486,0.682090998,12.66640947,0.850945539,27.22817273,0.852292615,42.34966782,0.913584558,12.10667765,0.906424581,2.118644068,0.923184358,4.661016949,,,0.63547486,8.739495798,0.611731844,11.93277311,0.674581006,4.537815126,0.618958819,94.32773109,0.486868687,47.05882353,0.61993007,59.31372549,,
,,,,,,0.41439738,2.410057364,0.344271092,11.99016918,,,0.68343958,19.5787037,0.665908008,26.65174897,0.688159619,13.63091564,0.859027993,27.22817273,0.862395682,42.34966782,0.921667012,11.28929954,0.916201117,1.86440678,0.930167598,4.152542373,,,0.641061453,8.571428571,0.618715084,12.60504202,0.684357542,4.87394958,0.632556333,108.3333333,0.5004662,48.80952381,0.633527584,61.06442577,,
,,,,,,0.421140292,1.516996093,0.350339713,11.34067008,,,0.686136745,21.18621399,0.673325212,27.13400206,0.696251113,14.11316872,0.865763372,26.81948368,0.87249875,42.9627014,0.929749465,10.88061048,0.921787709,1.440677966,0.937150838,3.728813559,,,0.648044693,8.403361345,0.627094972,12.77310924,0.69273743,4.87394958,0.644211344,118.837535,0.512121212,54.06162465,0.645182595,68.06722689,,
,,,,,,0.429231787,0.948684375,0.356408334,10.85354575,,,0.694902531,21.18621399,0.681416706,27.13400206,0.705016899,14.27391975,0.873845826,26.00210557,0.882601817,42.9627014,0.935811306,9.858887843,0.92877095,1.101694915,0.944134078,3.559322034,,,0.653631285,8.403361345,0.63547486,13.44537815,0.702513966,4.369747899,0.656837607,129.3417367,0.523776224,59.31372549,0.655866356,75.07002801,,
,,,,,,0.436648991,0.542747433,0.363151247,10.36642142,,,0.705016899,21.50771605,0.690182492,26.97325103,0.714456977,14.59542181,0.881254742,25.18472745,0.890684271,42.75835687,0.94389376,9.450198786,0.93575419,0.593220339,0.94972067,3.389830508,,,0.657821229,9.075630252,0.643854749,13.94957983,0.709497207,4.033613445,0.669463869,141.5966387,0.536402486,62.81512605,0.665578866,80.32212885,,
,,,,,,0.445414776,0.380372657,0.367196994,10.52879619,,,0.715131268,21.82921811,0.700971152,27.45550412,0.723897054,14.75617284,0.890684271,25.18472745,0.89741965,41.5322897,0.950629138,7.611098033,0.948324022,0.338983051,0.953910615,2.966101695,,,0.663407821,9.74789916,0.649441341,14.45378151,0.717877095,3.529411765,0.682090132,152.1008403,0.536402486,62.81512605,0.676262626,87.32492997,,
,,,,,,,,0.372591324,11.01592052,,,0.72187418,21.02546296,0.713108394,27.9377572,0.731988548,14.11316872,0.900113801,25.18472745,0.906849179,40.51056706,0.955343903,5.567652752,0.959497207,0.254237288,0.958100559,2.627118644,,,0.668994413,9.075630252,0.655027933,14.45378151,0.729050279,2.857142857,0.695687646,162.605042,0.550971251,71.56862745,0.685975136,89.07563025,,
,,,,,,,,0.376637071,10.60998358,,,0.727942801,22.31147119,0.723222763,28.42001029,0.73805717,13.47016461,0.908196255,24.7760384,0.915605171,39.89753348,0.963426357,4.341585583,,,0.962290503,2.457627119,,,0.674581006,8.403361345,0.660614525,14.11764706,0.734636872,2.352941176,0.713170163,176.6106443,0.562626263,78.57142857,0.695687646,90.82633053,,
