B38_Median,,B38_upper,,B38_lower,,I2_median,,I2_upper,,I2_lower,,B8ab_median,,B8ab_upper,,B8ab_lower,,B6B9_median,,B6B9_upper,,B6B9_lower,,B3_median,,B3_upper,,B3_lower,,B4B5_median,,B4B5_upper,,B4B5_lower,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-7.32812500000001,0.2816901408450647,-7.35937500000001,6.760563380281688,-7.375000000000011,0,-7.42187500000001,0,-7.42187500000001,0.27777777777777857,-7.40625000000001,0,-5.406250000000008,0,-5.406250000000008,0.5633802816901152,-5.390625000000007,0,-4.312500000000006,0,-4.343750000000006,0.7042253521127009,-4.328125000000006,0,-3.095238095238102,0,-3.111111111111117,0.14084507042254302,-3.095238095238102,0,-5.312500000000007,0,-5.312500000000007,0,-5.265625000000008,0
-7.26562500000001,0.5633802816901365,-7.281250000000011,6.760563380281688,-7.23437500000001,0,-7.26562500000001,0,-7.32812500000001,0.8333333333333357,-7.25000000000001,0,-5.156250000000007,0,-5.265625000000008,2.81690140845069,-5.203125000000007,0,-4.093750000000005,0,-4.171875000000006,1.408450704225345,-4.125000000000005,0,-0.7936507936507962,0,-2.936507936507942,0.5633802816901436,-0.809523809523812,0,-5.000000000000007,0,-5.203125000000007,0.8333333333333428,-5.031250000000007,0
-7.20312500000001,1.408450704225345,-7.20312500000001,6.478873239436616,-7.06250000000001,0,-7.01562500000001,0,-7.23437500000001,1.3888888888888928,-7.03125000000001,0,-5.078125000000007,1.1267605633802873,-5.109375000000007,4.507042253521092,-5.000000000000007,0,-3.9218750000000053,1.408450704225345,-4.015625000000006,2.81690140845069,-3.9531250000000053,0,,,-2.8253968253968313,1.549295774647888,,,-4.875000000000007,0.5555555555555713,-5.093750000000007,1.6666666666666856,-4.781250000000007,0
-7.14062500000001,2.5352112676056286,-7.15625000000001,7.605633802816897,-6.921875000000009,0,-6.828125000000009,0,-7.10937500000001,1.9444444444444358,-6.85937500000001,0,-4.984375000000007,2.81690140845069,-4.984375000000007,6.197183098591552,-4.890625000000007,1.6901408450704025,-3.7812500000000053,2.81690140845069,-3.890625000000006,3.5211267605633907,-3.8125000000000053,0.7042253521127009,,,-2.666666666666673,2.2535211267605604,,,-4.750000000000007,1.3888888888888857,-4.984375000000007,1.944444444444457,-4.718750000000007,0
-7.093750000000009,3.943661971830984,-7.093750000000009,8.450704225352109,-6.750000000000009,0,-6.687500000000009,0,-6.98437500000001,2.7777777777777715,-6.593750000000009,0,-4.890625000000007,6.197183098591552,-4.890625000000007,10.140845070422529,-4.796875000000007,2.81690140845069,-3.6250000000000053,3.5211267605633907,-3.7812500000000053,4.929577464788736,-3.6718750000000053,1.408450704225345,,,-2.5714285714285774,3.098591549295776,,,-4.656250000000007,2.7777777777777715,-4.890625000000007,2.2222222222222,-4.593750000000006,0.5555555555555713
-7.06250000000001,5.070422535211264,-7.00000000000001,9.295774647887317,-6.593750000000009,0,-6.593750000000009,0.8333333333333357,-6.906250000000009,4.444444444444443,-6.437500000000009,0,-4.812500000000007,7.887323943661954,-4.796875000000007,13.521126760563362,-4.718750000000007,4.507042253521092,-3.515625000000006,5.6338028169014365,-3.6718750000000053,6.338028169014137,-3.546875000000006,2.112676056338046,,,-2.460317460317466,3.5211267605633836,,,-4.578125000000007,3.6111111111111143,-4.796875000000007,3.8888888888888857,-4.515625000000007,1.3888888888888857
-7.01562500000001,5.070422535211264,-6.906250000000009,10.140845070422532,-6.453125000000009,0,-6.484375000000009,1.9444444444444358,-6.812500000000009,6.111111111111107,-6.296875000000009,0,-4.734375000000006,7.887323943661954,-4.750000000000007,16.901408450704224,-4.640625000000006,6.197183098591552,-3.3593750000000053,7.746478873239425,-3.546875000000006,7.746478873239425,-3.4062500000000044,4.225352112676035,,,-2.349206349206354,4.366197183098592,,,-4.515625000000007,5.555555555555543,-4.750000000000007,5.555555555555543,-4.421875000000006,2.2222222222222
-6.953125000000009,5.070422535211264,-6.812500000000009,10.704225352112669,-6.343750000000009,0.2816901408450647,-6.375000000000009,2.7777777777777715,-6.718750000000009,8.05555555555555,-6.234375000000009,0.27777777777777857,-4.687500000000007,9.014084507042242,-4.671875000000006,18.591549295774655,-4.546875000000007,7.887323943661954,-3.2500000000000053,11.267605633802816,-3.4531250000000053,9.859154929577471,-3.2812500000000053,4.929577464788736,,,-2.2539682539682593,4.507042253521128,,,-4.484375000000006,6.944444444444429,-4.671875000000006,7.5,-4.343750000000006,2.5
-6.87500000000001,5.070422535211264,-6.703125000000009,10.98591549295774,-6.218750000000009,0.2816901408450647,-6.281250000000009,4.444444444444443,-6.640625000000009,9.444444444444443,-6.125000000000009,0.8333333333333357,-4.656250000000007,12.957746478873219,-4.578125000000007,21.408450704225345,-4.437500000000007,9.577464788732385,-3.0937500000000044,14.788732394366207,-3.3281250000000053,11.971830985915489,-3.1406250000000053,6.338028169014137,,,-2.126984126984132,4.225352112676056,,,-4.453125000000006,7.5,-4.625000000000007,9.444444444444429,-4.281250000000006,3.8888888888888857
